condition,trial,n_teammates,success,tasks_done,total_tasks,task_completion_rate,wall_clock_seconds,total_rounds,total_input_tokens,total_output_tokens,total_tokens,tokens_per_task,dispatched_agent_rounds,possible_agent_rounds,idle_agent_rounds,idle_fraction,run_dir
dynamic,2,4,True,3,3,1.0,220.08337903022766,21,211262,15505,226767,75589.0,36,84,48,0.5714285714285714,experiments/experiment2/n4/runs/openai_gpt-5.2_02_dynamic_20260416_211109
decentralized,3,4,True,33,33,1.0,279.51011896133423,11,522210,78311,600521,18197.60606060606,55,55,0,0.0,experiments/experiment2/n4/runs/openai_gpt-5.2_03_decentralized_20260416_225522
no_graph,3,4,True,33,33,1.0,716.198246717453,19,1057862,136990,1194852,36207.63636363636,76,95,19,0.2,experiments/experiment2/n4/runs/openai_gpt-5.2_03_no_graph_20260416_230526
decentralized,4,4,True,33,33,1.0,330.61483883857727,16,855381,99385,954766,28932.303030303032,80,80,0,0.0,experiments/experiment2/n4/runs/openai_gpt-5.2_04_decentralized_20260416_231722
dynamic,3,4,True,11,11,1.0,317.503,27,0,0,0,0.0,48,108,60,0.5555555555555556,experiments/experiment2/n4/runs/openai_gpt-5.2_03_dynamic_20260416_230001
decentralized,5,4,True,33,33,1.0,378.76272797584534,7,581053,117512,698565,21168.636363636364,35,35,0,0.0,experiments/experiment2/n4/runs/anthropic_claude-sonnet-4-6_05_decentralized_20260417_111304
dynamic,6,4,True,16,16,1.0,602.3075699806213,13,202134,63010,265144,16571.5,20,52,32,0.6153846153846154,experiments/experiment2/n4/runs/anthropic_claude-sonnet-4-6_06_dynamic_20260417_112815
no_graph,6,4,True,33,33,1.0,610.7182238101959,6,447290,99890,547180,16581.21212121212,24,30,6,0.2,experiments/experiment2/n4/runs/anthropic_claude-sonnet-4-6_06_no_graph_20260417_113821
decentralized,6,4,True,33,33,1.0,391.05665493011475,8,657327,126761,784088,23760.242424242424,40,40,0,0.0,experiments/experiment2/n4/runs/anthropic_claude-sonnet-4-6_06_decentralized_20260417_114832
dynamic,7,4,True,21,21,1.0,604.805230140686,15,256517,65500,322017,15334.142857142857,27,60,33,0.55,experiments/experiment2/n4/runs/anthropic_claude-sonnet-4-6_07_dynamic_20260417_115503
no_graph,7,4,True,33,33,1.0,539.8191070556641,6,478209,102706,580915,17603.484848484848,24,30,6,0.2,experiments/experiment2/n4/runs/anthropic_claude-sonnet-4-6_07_no_graph_20260417_120513
decentralized,7,4,True,33,33,1.0,369.5693829059601,7,615463,125266,740729,22446.333333333332,35,35,0,0.0,experiments/experiment2/n4/runs/anthropic_claude-sonnet-4-6_07_decentralized_20260417_121413
dynamic,8,4,True,9,9,1.0,311.5755889415741,19,244493,39440,283933,31548.11111111111,46,76,30,0.39473684210526316,experiments/experiment2/n4/runs/openai_gpt-5.2_08_dynamic_20260417_155314
no_graph,8,4,True,33,33,1.0,441.27326822280884,14,538849,67991,606840,18389.090909090908,56,70,14,0.2,experiments/experiment2/n4/runs/openai_gpt-5.2_08_no_graph_20260417_155833
decentralized,8,4,True,33,33,1.0,533.0452058315277,18,1130724,134997,1265721,38355.181818181816,90,90,0,0.0,experiments/experiment2/n4/runs/openai_gpt-5.2_08_decentralized_20260417_160554
dynamic,9,4,True,18,18,1.0,422.38173723220825,26,461026,55848,516874,28715.222222222223,66,104,38,0.36538461538461536,experiments/experiment2/n4/runs/openai_gpt-5.2_09_dynamic_20260417_161447
no_graph,9,4,True,33,33,1.0,207.66854572296143,12,302417,27905,330322,10009.757575757576,48,60,12,0.2,experiments/experiment2/n4/runs/openai_gpt-5.2_09_no_graph_20260417_162156
decentralized,9,4,True,33,33,1.0,515.4947700500488,17,946886,118615,1065501,32287.909090909092,85,85,0,0.0,experiments/experiment2/n4/runs/openai_gpt-5.2_09_decentralized_20260417_162524
dynamic,10,4,True,11,11,1.0,466.438752412796,29,401714,53448,455162,41378.36363636364,70,116,46,0.39655172413793105,experiments/experiment2/n4/runs/openai_gpt-5.2_10_dynamic_20260417_163400
no_graph,10,4,True,33,33,1.0,883.386,35,1479384,155283,1634667,49535.363636363636,140,175,35,0.2,experiments/experiment2/n4/runs/openai_gpt-5.2_10_no_graph_20260417_164155
decentralized,10,4,True,33,33,1.0,330.980,14,715308,90214,805522,24410.363636363636,70,70,0,0.0,experiments/experiment2/n4/runs/openai_gpt-5.2_10_decentralized_20260417_165638
dynamic,11,4,True,2,2,1.0,93.71614813804626,2,38099,10250,48349,24174.5,4,8,4,0.5,experiments/experiment2/n4/runs/anthropic_claude-sonnet-4-6_11_dynamic_20260419_172752
no_graph,11,4,True,33,33,1.0,479.60360884666443,5,320594,74262,394856,11965.333333333334,20,25,5,0.2,experiments/experiment2/n4/runs/anthropic_claude-sonnet-4-6_11_no_graph_20260419_172931
decentralized,11,4,True,33,33,1.0,281.36178374290466,6,450052,87190,537242,16280.060606060606,30,30,0,0.0,experiments/experiment2/n4/runs/anthropic_claude-sonnet-4-6_11_decentralized_20260419_173731
dynamic,12,4,True,5,5,1.0,320.5825810432434,7,74058,22237,96295,19259.0,7,28,21,0.75,experiments/experiment2/n4/runs/anthropic_claude-sonnet-4-6_12_dynamic_20260419_174212
no_graph,12,4,True,33,33,1.0,245.3536458015442,4,180494,51778,232272,7038.545454545455,16,20,4,0.2,experiments/experiment2/n4/runs/anthropic_claude-sonnet-4-6_12_no_graph_20260419_174736
decentralized,12,4,True,33,33,1.0,209.43091988563538,4,211318,66347,277665,8414.09090909091,20,20,0,0.0,experiments/experiment2/n4/runs/anthropic_claude-sonnet-4-6_12_decentralized_20260419_175141
dynamic,13,4,True,6,6,1.0,285.38698410987854,7,76909,22755,99664,16610.666666666668,8,28,20,0.7142857142857143,experiments/experiment2/n4/runs/anthropic_claude-sonnet-4-6_13_dynamic_20260419_175511
no_graph,13,4,True,33,33,1.0,470.00909185409546,6,351570,63304,414874,12571.939393939394,24,30,6,0.2,experiments/experiment2/n4/runs/anthropic_claude-sonnet-4-6_13_no_graph_20260419_180003
decentralized,13,4,True,33,33,1.0,618.8539299964905,12,1307979,199388,1507367,45677.78787878788,60,60,0,0.0,experiments/experiment2/n4/runs/anthropic_claude-sonnet-4-6_13_decentralized_20260419_180753
dynamic,14,4,True,4,4,1.0,89.40796113014221,7,104688,15133,119821,29955.25,21,28,7,0.25,experiments/experiment2/n4/runs/openai_gpt-5.2_14_dynamic_20260419_183929
