run,role,input_tokens,output_tokens,reasoning_tokens,total_tokens
debug_sprint_gpt52_r1,TOTAL,95585,25351,0,120936
debug_sprint_gpt52_r2,TOTAL,114179,33053,0,147232
debug_sprint_gpt52_r3,TOTAL,83863,23726,0,107589
debug_sprint_gpt52_r4,TOTAL,84982,23004,0,107986
debug_sprint_gpt52_r5,TOTAL,71034,21752,0,92786
debug_sprint_sonnet_r1,TOTAL,172855,67938,0,240793
debug_sprint_sonnet_r2,TOTAL,234111,96689,0,330800
debug_sprint_sonnet_r3,TOTAL,182506,60662,0,243168
debug_sprint_sonnet_r4,TOTAL,820434,163400,0,983834
debug_sprint_sonnet_r5,TOTAL,322812,104989,0,427801
debug_sprint_gpt52_r1,ProductManager,1190,1091,0,2281
debug_sprint_gpt52_r1,Architect,1678,1907,0,3585
debug_sprint_gpt52_r1,ProjectManager,2534,1567,0,4101
debug_sprint_gpt52_r1,Engineer,51156,4810,0,55966
debug_sprint_gpt52_r1,QaEngineer,39027,15976,0,55003
debug_sprint_gpt52_r2,ProductManager,1185,1171,0,2356
debug_sprint_gpt52_r2,Architect,1758,2018,0,3776
debug_sprint_gpt52_r2,ProjectManager,2645,1657,0,4302
debug_sprint_gpt52_r2,Engineer,57900,7340,0,65240
debug_sprint_gpt52_r2,QaEngineer,50691,20867,0,71558
debug_sprint_gpt52_r3,ProductManager,1185,1159,0,2344
debug_sprint_gpt52_r3,Architect,1746,1748,0,3494
debug_sprint_gpt52_r3,ProjectManager,2375,1764,0,4139
debug_sprint_gpt52_r3,Engineer,56760,8071,0,64831
debug_sprint_gpt52_r3,QaEngineer,21797,10984,0,32781
debug_sprint_gpt52_r4,ProductManager,1185,1092,0,2277
debug_sprint_gpt52_r4,Architect,1679,1639,0,3318
debug_sprint_gpt52_r4,ProjectManager,2266,1049,0,3315
debug_sprint_gpt52_r4,Engineer,58617,7549,0,66166
debug_sprint_gpt52_r4,QaEngineer,21235,11675,0,32910
debug_sprint_gpt52_r5,ProductManager,1185,1071,0,2256
debug_sprint_gpt52_r5,Architect,1658,1338,0,2996
debug_sprint_gpt52_r5,ProjectManager,1965,2600,0,4565
debug_sprint_gpt52_r5,Engineer,47271,7539,0,54810
debug_sprint_gpt52_r5,QaEngineer,18955,9204,0,28159
debug_sprint_sonnet_r1,ProductManager,1215,1163,0,2378
debug_sprint_sonnet_r1,Architect,1747,1852,0,3599
debug_sprint_sonnet_r1,ProjectManager,2438,2099,0,4537
debug_sprint_sonnet_r1,Engineer,77312,15454,0,92766
debug_sprint_sonnet_r1,QaEngineer,90143,47370,0,137513
debug_sprint_sonnet_r2,ProductManager,1215,1136,0,2351
debug_sprint_sonnet_r2,Architect,1720,1755,0,3475
debug_sprint_sonnet_r2,ProjectManager,2341,1677,0,4018
debug_sprint_sonnet_r2,Engineer,70363,21177,0,91540
debug_sprint_sonnet_r2,QaEngineer,158472,70944,0,229416
debug_sprint_sonnet_r3,ProductManager,1215,1106,0,2321
debug_sprint_sonnet_r3,Architect,1690,2930,0,4620
debug_sprint_sonnet_r3,ProjectManager,3516,2290,0,5806
debug_sprint_sonnet_r3,Engineer,100211,14833,0,115044
debug_sprint_sonnet_r3,QaEngineer,75874,39503,0,115377
debug_sprint_sonnet_r4,ProductManager,1215,1074,0,2289
debug_sprint_sonnet_r4,Architect,3316,4896,0,8212
debug_sprint_sonnet_r4,ProjectManager,3078,1953,0,5031
debug_sprint_sonnet_r4,Engineer,627949,46257,0,674206
debug_sprint_sonnet_r4,QaEngineer,184876,109220,0,294096
debug_sprint_sonnet_r5,ProductManager,1215,1146,0,2361
debug_sprint_sonnet_r5,Architect,1730,2315,0,4045
debug_sprint_sonnet_r5,ProjectManager,2901,1702,0,4603
debug_sprint_sonnet_r5,Engineer,182892,22113,0,205005
debug_sprint_sonnet_r5,QaEngineer,134074,77713,0,211787
