run,role,api_elapsed_s,wall_clock_s
debug_sprint_gpt52_r1,TOTAL,313.2,315.3
debug_sprint_gpt52_r2,TOTAL,449.6,451.8
debug_sprint_gpt52_r3,TOTAL,313.4,315.4
debug_sprint_gpt52_r4,TOTAL,293.4,305.2
debug_sprint_gpt52_r5,TOTAL,299.3,301.2
debug_sprint_sonnet_r1,TOTAL,867.0,878.9
debug_sprint_sonnet_r2,TOTAL,1128.1,1133.3
debug_sprint_sonnet_r3,TOTAL,724.8,727.3
debug_sprint_sonnet_r4,TOTAL,1874.1,1889.4
debug_sprint_sonnet_r5,TOTAL,1157.4,1160.3
debug_sprint_gpt52_r1,ProductManager,18.2,
debug_sprint_gpt52_r1,Architect,34.3,
debug_sprint_gpt52_r1,ProjectManager,19.7,
debug_sprint_gpt52_r1,Engineer,61.0,
debug_sprint_gpt52_r1,QaEngineer,180.1,
debug_sprint_gpt52_r2,ProductManager,24.3,
debug_sprint_gpt52_r2,Architect,38.0,
debug_sprint_gpt52_r2,ProjectManager,24.6,
debug_sprint_gpt52_r2,Engineer,99.0,
debug_sprint_gpt52_r2,QaEngineer,263.8,
debug_sprint_gpt52_r3,ProductManager,20.2,
debug_sprint_gpt52_r3,Architect,31.6,
debug_sprint_gpt52_r3,ProjectManager,28.2,
debug_sprint_gpt52_r3,Engineer,98.5,
debug_sprint_gpt52_r3,QaEngineer,134.9,
debug_sprint_gpt52_r4,ProductManager,22.4,
debug_sprint_gpt52_r4,Architect,27.8,
debug_sprint_gpt52_r4,ProjectManager,16.7,
debug_sprint_gpt52_r4,Engineer,91.0,
debug_sprint_gpt52_r4,QaEngineer,135.5,
debug_sprint_gpt52_r5,ProductManager,19.7,
debug_sprint_gpt52_r5,Architect,22.0,
debug_sprint_gpt52_r5,ProjectManager,37.9,
debug_sprint_gpt52_r5,Engineer,92.9,
debug_sprint_gpt52_r5,QaEngineer,126.9,
debug_sprint_sonnet_r1,ProductManager,21.2,
debug_sprint_sonnet_r1,Architect,24.2,
debug_sprint_sonnet_r1,ProjectManager,35.2,
debug_sprint_sonnet_r1,Engineer,224.8,
debug_sprint_sonnet_r1,QaEngineer,561.5,
debug_sprint_sonnet_r2,ProductManager,19.9,
debug_sprint_sonnet_r2,Architect,28.4,
debug_sprint_sonnet_r2,ProjectManager,28.8,
debug_sprint_sonnet_r2,Engineer,265.2,
debug_sprint_sonnet_r2,QaEngineer,785.8,
debug_sprint_sonnet_r3,ProductManager,21.2,
debug_sprint_sonnet_r3,Architect,38.4,
debug_sprint_sonnet_r3,ProjectManager,36.0,
debug_sprint_sonnet_r3,Engineer,192.6,
debug_sprint_sonnet_r3,QaEngineer,436.5,
debug_sprint_sonnet_r4,ProductManager,16.2,
debug_sprint_sonnet_r4,Architect,73.8,
debug_sprint_sonnet_r4,ProjectManager,35.9,
debug_sprint_sonnet_r4,Engineer,608.7,
debug_sprint_sonnet_r4,QaEngineer,1139.5,
debug_sprint_sonnet_r5,ProductManager,20.9,
debug_sprint_sonnet_r5,Architect,36.8,
debug_sprint_sonnet_r5,ProjectManager,31.1,
debug_sprint_sonnet_r5,Engineer,311.3,
debug_sprint_sonnet_r5,QaEngineer,757.2,
