condition,trial,n_teammates,success,tasks_done,total_tasks,task_completion_rate,wall_clock_seconds,total_rounds,total_input_tokens,total_output_tokens,total_tokens,tokens_per_task,dispatched_agent_rounds,possible_agent_rounds,idle_agent_rounds,idle_fraction,run_dir
dynamic,1,4,True,8,8,1.0,142.52532410621643,8,79333,10667,90000,11250.0,22,32,10,0.3125,experiments/textproc/n4/runs/openai_gpt-5.2_01_dynamic_20260428_125948
no_graph,1,4,True,11,11,1.0,276.9946599006653,8,166175,32876,199051,18095.545454545456,32,40,8,0.2,experiments/textproc/n4/runs/openai_gpt-5.2_01_no_graph_20260428_130219
decentralized,1,4,True,6,6,1.0,92.52139592170715,9,152303,20546,172849,28808.166666666668,45,45,0,0.0,experiments/textproc/n4/runs/openai_gpt-5.2_01_decentralized_20260428_130656
static,2,4,True,10,10,1.0,214.19888496398926,8,135623,47367,182990,18299.0,15,32,17,0.53125,experiments/textproc/n4/runs/anthropic_claude-sonnet-4-6_02_static_20260428_131407
static,2,4,True,10,10,1.0,133.27060317993164,9,86445,11219,97664,9766.4,28,36,8,0.2222222222222222,experiments/textproc/n4/runs/openai_gpt-5.2_02_static_20260428_131740
dynamic,2,4,True,8,8,1.0,155.87949109077454,5,60257,21250,81507,10188.375,8,20,12,0.6,experiments/textproc/n4/runs/anthropic_claude-sonnet-4-6_02_dynamic_20260428_131757
dynamic,2,4,True,6,6,1.0,112.28739309310913,6,52557,9615,62172,10362.0,14,24,10,0.4166666666666667,experiments/textproc/n4/runs/openai_gpt-5.2_02_dynamic_20260428_132011
no_graph,2,4,True,6,6,1.0,228.2892711162567,3,102701,48545,151246,25207.666666666668,12,15,3,0.2,experiments/textproc/n4/runs/anthropic_claude-sonnet-4-6_02_no_graph_20260428_132048
no_graph,2,4,True,6,6,1.0,190.84807801246643,4,51067,19686,70753,11792.166666666666,16,20,4,0.2,experiments/textproc/n4/runs/openai_gpt-5.2_02_no_graph_20260428_132212
decentralized,2,4,True,6,6,1.0,81.78122019767761,8,125020,18804,143824,23970.666666666668,40,40,0,0.0,experiments/textproc/n4/runs/openai_gpt-5.2_02_decentralized_20260428_132523
decentralized,2,4,True,6,6,1.0,157.11276698112488,3,93991,61438,155429,25904.833333333332,15,15,0,0.0,experiments/textproc/n4/runs/anthropic_claude-sonnet-4-6_02_decentralized_20260428_132437
static,3,4,True,10,10,1.0,180.5747799873352,11,97528,20178,117706,11770.6,11,44,33,0.75,experiments/textproc/n4/runs/anthropic_claude-sonnet-4-6_03_static_20260428_132847
static,3,4,True,11,11,1.0,221.69232177734375,30,126589,14703,141292,12844.727272727272,41,120,79,0.6583333333333333,experiments/textproc/n4/runs/openai_gpt-5.2_03_static_20260428_132850
dynamic,3,4,True,7,7,1.0,64.9282968044281,5,43695,8319,52014,7430.571428571428,14,20,6,0.3,experiments/textproc/n4/runs/openai_gpt-5.2_03_dynamic_20260428_133248
no_graph,3,4,True,6,6,1.0,61.22823786735535,4,33992,8164,42156,7026.0,16,20,4,0.2,experiments/textproc/n4/runs/openai_gpt-5.2_03_no_graph_20260428_133404
dynamic,3,4,True,18,18,1.0,196.1014688014984,7,74933,31390,106323,5906.833333333333,14,28,14,0.5,experiments/textproc/n4/runs/anthropic_claude-sonnet-4-6_03_dynamic_20260428_133206
decentralized,3,4,True,6,6,1.0,79.42936205863953,9,165550,19551,185101,30850.166666666668,45,45,0,0.0,experiments/textproc/n4/runs/openai_gpt-5.2_03_decentralized_20260428_133505
no_graph,3,4,True,6,6,1.0,268.1075918674469,3,125214,57970,183184,30530.666666666668,12,15,3,0.2,experiments/textproc/n4/runs/anthropic_claude-sonnet-4-6_03_no_graph_20260428_133609
decentralized,3,4,True,6,6,1.0,152.35232996940613,3,94655,61437,156092,26015.333333333332,15,15,0,0.0,experiments/textproc/n4/runs/anthropic_claude-sonnet-4-6_03_decentralized_20260428_134038
static,4,4,True,10,10,1.0,187.3861026763916,17,126803,14138,140941,14094.1,35,68,33,0.4852941176470588,experiments/textproc/n4/runs/openai_gpt-5.2_04_static_20260428_135614
dynamic,4,4,True,5,5,1.0,78.90644407272339,6,58825,6516,65341,13068.2,15,24,9,0.375,experiments/textproc/n4/runs/openai_gpt-5.2_04_dynamic_20260428_135937
