feat_04,feat_01,feat_09,feat_05,feat_03,feat_10,feat_02,feat_08,feat_07,feat_06
0.8058,0.6656,-0.8672,45.4936,30.7915,Z,0.5349,22.4101,B,39.2537
0.2171,-0.4476,-0.3656,33.089,30.2205,Y,0.1296,28.8129,A,58.1181
0.8327,-0.6035,0.3418,46.3535,31.9896,Y,1.0949,13.7586,B,48.4671
0.5684,-0.7422,-0.1653,49.592,8.4553,Y,-0.017,21.0912,B,37.2685
0.6687,0.5566,-0.8892,51.048,9.8878,Y,1.0231,18.6122,B,38.0499
0.8516,-0.533,0.7877,38.3264,31.4625,Y,-0.9224,12.0512,A,64.1781
0.4055,-1.6759,-0.5396,56.5023,11.1683,Z,0.6094,16.4256,A,20.9061
0.9196,0.6227,-0.4993,37.5033,32.1419,X,-0.2241,25.6353,B,32.7967
0.8813,-0.7013,-1.3797,47.6996,30.794,Y,0.1942,17.6552,A,56.5427
0.8077,0.357,-0.786,63.4166,29.3812,X,0.0717,16.387,A,64.4202
0.3799,0.3738,0.6518,42.8824,10.7244,Z,0.9363,24.3413,A,22.865
0.5282,1.2036,-1.6177,44.75,7.9948,Y,-2.0196,24.9444,B,33.3962
0.1731,1.0445,-0.0712,61.0335,6.7211,X,0.3231,24.9339,A,17.0783
0.7594,-0.575,0.7177,46.0529,31.1613,X,-1.4945,16.0515,B,43.1327
0.8909,-0.1664,-0.3771,46.9474,29.8897,Z,1.2068,19.71,A,57.9562
0.1608,-1.2904,0.2398,52.2736,30.6168,Z,-1.9727,25.1533,B,56.1671
0.7447,1.6773,-1.1168,60.7842,26.6046,X,-1.0038,16.7198,A,56.1443
0.6942,0.4416,1.3103,27.3537,29.2698,X,-1.6739,16.2533,A,61.7193
0.0365,1.3944,1.1011,41.4883,28.8003,Y,1.6392,24.1412,B,47.6731
0.9169,-0.319,0.2355,39.6509,28.2716,Z,-1.289,27.8117,B,34.7018
0.4791,-2.0491,-1.7551,38.8559,5.49,Y,0.1139,14.2396,A,14.089
0.2692,1.5317,-1.046,41.2222,9.3303,Z,-0.5358,7.0122,B,43.4888
0.0302,0.0931,0.9767,41.3845,31.7946,Z,-1.7998,12.7484,B,40.4894
0.7818,0.1332,1.7131,53.0922,10.762,Y,-0.3373,14.9377,B,40.3957
0.3378,0.0555,0.2966,40.8787,8.7981,X,0.6627,19.3116,B,37.7104
0.5135,0.6447,1.2473,51.2558,29.9702,Z,-0.1843,23.0792,B,25.5322
0.1947,0.5331,-0.6078,54.1142,31.5136,Y,0.9411,19.2675,A,62.9848
0.607,-1.5905,-0.1894,42.5195,24.4792,Y,-0.3619,16.4983,A,46.5534
0.3972,1.0869,0.0011,51.3388,29.7509,X,0.0069,20.7668,A,59.1472
0.8066,-0.529,0.4231,66.7752,31.0864,Y,-0.3848,15.1906,A,57.7673
0.6663,-0.467,-1.5288,53.3005,31.3643,Z,0.3436,19.7654,A,59.3245
0.7217,1.7274,0.9407,43.4702,13.4015,Z,1.8989,16.7922,B,38.2456
0.2512,0.9206,1.3225,49.3348,12.2701,Y,0.3622,33.4017,A,24.7241
0.0639,-0.3382,-1.1487,40.6206,10.6251,Z,0.1944,24.0839,B,28.544
0.88,-1.8564,-1.3553,52.7714,30.604,Z,-0.6184,15.8249,B,26.0112
0.9357,0.1616,0.3506,58.8245,11.5739,X,-0.7555,15.0153,A,21.165
0.6435,0.5387,-0.6543,41.6206,8.9213,Z,1.4641,17.8091,A,17.5138
0.9218,-0.0805,-2.3708,47.8606,9.9196,Z,-1.1122,11.7756,B,32.2652
0.7063,-1.246,0.8086,61.373,31.8125,Y,-0.9131,16.3475,A,63.407
0.6058,-0.7907,0.1556,44.9151,13.9149,X,-0.0975,16.3089,A,31.6912
0.4191,-1.2552,-0.4766,51.921,9.6815,Z,-0.4263,24.4196,A,21.9582
0.3556,0.2154,2.1134,39.5387,29.9032,X,1.9562,17.867,B,29.0269
0.4897,0.8194,0.1389,41.6321,30.397,X,-2.3662,16.0473,B,42.393
0.2224,1.0254,-0.7534,44.7654,32.6864,Y,0.3614,13.2977,B,37.4421
0.4277,-0.7322,0.1012,71.7632,29.9394,X,0.7127,14.1168,A,59.789
0.5076,0.235,-1.0401,45.9095,32.9387,X,-1.1205,19.6682,A,68.2952
0.0312,0.5541,-0.7617,44.7004,8.0667,Z,-0.6446,18.9244,B,54.0499
0.3936,-0.5111,0.3864,44.3681,29.6279,Y,0.4326,25.6713,B,41.5577
0.2845,-0.1485,-0.5542,48.344,29.6037,X,1.6295,16.8543,B,40.9949
0.6342,2.1239,-0.451,56.5593,31.573,Y,-0.9205,25.2959,A,61.5866
0.8118,0.2051,1.6689,51.8949,12.0905,X,-1.5792,21.2856,B,44.6667
0.6144,0.883,0.8596,70.5781,26.9811,Y,0.9725,19.9768,B,38.0314
0.6639,-0.4348,0.8028,52.1379,8.1698,Z,1.5237,9.9585,B,46.6561
0.6139,0.0418,0.5288,64.474,10.6737,Z,-0.335,13.5497,A,20.6736
0.2562,-1.7143,0.4842,52.7671,8.6826,Z,-2.2138,23.7071,A,19.1857
0.3763,-0.0251,1.4566,56.0558,6.9551,Z,1.4519,26.9891,A,11.427
0.8442,1.1923,-0.0195,35.564,32.077,X,-0.1985,21.0322,A,63.596
0.946,2.0989,1.8555,48.7294,10.9879,Y,1.1239,23.8126,B,47.0519
0.1812,1.1966,-0.9514,49.3105,30.9864,Z,-0.0435,17.9614,B,37.1945
0.0106,0.6869,-0.255,47.5704,29.0491,X,-0.3756,18.1432,B,33.6626
0.9615,0.053,-1.3786,28.4712,32.0579,Y,-0.4519,16.6852,B,37.873
0.8596,-0.6,-0.3438,58.8062,29.5201,Y,1.4734,24.8735,B,28.9606
0.6076,-0.1603,0.5184,46.1285,32.1929,X,1.4345,21.714,B,40.9516
0.8169,0.6128,1.4512,45.6193,8.1767,X,-2.1378,18.8292,A,13.7116
0.5943,-0.7851,-0.6633,47.4483,28.2917,X,-0.9363,18.358,B,49.1603
0.9048,0.9331,0.0053,47.7192,10.4093,Y,1.7771,22.7825,B,31.1279
0.2433,-0.9841,-0.3592,54.071,28.5953,Y,-0.3673,21.6156,A,57.4256
0.4441,-1.7792,-0.7386,37.2897,11.3509,Z,-1.3605,15.8398,B,36.7622
0.6706,-1.0121,-1.1894,40.6896,30.5202,Z,0.0045,28.5799,A,64.3054
0.2156,-1.6654,0.0607,52.9063,8.1541,X,-0.1084,21.2851,B,33.4281
0.7148,-1.3723,-1.7321,51.4558,30.1457,Y,-0.0973,20.0524,B,34.4781
0.2624,1.1321,0.1105,46.2335,9.2974,Z,-0.4796,27.3864,A,17.0907
0.71,-0.2002,0.021,44.2609,31.8317,Z,-0.3101,25.1201,B,46.9172
0.8042,0.2186,-0.6578,41.6558,28.7349,Z,-0.4559,19.5602,A,57.9215
0.4242,1.1581,-1.0109,49.4164,9.1217,X,0.3339,22.6799,A,16.4487
0.9901,1.2591,-1.3843,61.8073,32.4225,Y,-0.8127,14.6501,B,27.602
0.6314,-0.5046,1.8713,39.4195,34.4772,Y,-0.2896,16.7958,A,66.6553
0.7566,1.3286,-1.342,65.2332,33.998,X,-0.1441,8.6983,B,22.1558
0.0206,0.3846,1.5577,58.4398,30.1264,X,1.3057,26.1018,B,45.9986
0.1128,0.0033,0.6002,45.4704,10.4377,Y,0.3734,10.5079,A,18.4037
0.7115,0.4421,-0.364,57.8307,13.0669,X,-0.1097,23.4064,B,43.8503
0.9431,-1.4256,-1.1571,35.341,29.7511,X,0.5362,15.8466,B,54.9466
0.6282,-0.7861,1.0425,32.6843,28.0473,Y,0.4061,15.1051,A,59.0041
0.9128,-0.1081,1.7297,37.1022,10.2338,Z,1.0878,19.0248,A,25.1924
0.0592,0.6097,-0.934,45.9025,30.903,Z,0.5065,21.3321,A,62.7722
0.8916,-0.372,-0.2987,46.7459,28.3417,Y,1.7939,23.0605,A,55.2508
0.8773,-0.1273,1.0516,44.8486,26.7075,Z,1.3446,28.8582,A,54.8249
0.6289,0.9694,0.3358,50.9942,7.1265,X,-0.041,21.7931,B,32.3736
0.4295,1.4117,2.0,28.6485,31.3309,Y,-0.4145,24.406,B,39.1225
0.7049,0.7671,-0.5701,54.9535,8.4832,Z,0.8826,17.0076,A,16.2978
0.2439,1.2684,0.5423,35.807,9.7173,Y,0.5166,23.5686,B,51.7659
0.6676,-0.4044,-1.2509,43.3915,30.4251,Y,-0.0946,20.7663,A,62.453
0.6943,-0.3064,2.0959,45.8715,31.2383,X,-1.477,17.6841,B,31.1455
0.5399,0.3184,-0.7303,38.4379,29.3302,X,-1.8324,19.5201,B,37.8435
0.2601,-0.3011,-2.208,36.29,10.9974,X,0.3483,19.6897,B,38.1833
0.0021,-0.5071,-0.1258,39.9392,28.2199,Y,0.7708,20.9556,B,41.329
0.1958,1.6521,-0.1394,49.8808,9.2766,X,0.8034,22.007,A,19.1351
0.8338,-0.2012,1.9156,55.8998,7.9512,Y,-1.2872,17.4555,B,38.2911
0.2123,-0.966,-0.3388,55.6424,12.2635,X,1.0373,16.2961,A,25.0865
0.0743,0.4874,-0.0126,40.0551,9.9458,Z,-0.5342,23.7374,B,22.885
0.2466,1.8358,0.5934,42.0842,28.5214,Z,0.3884,11.5172,A,58.2573
0.5192,0.0808,1.5863,40.794,29.2953,X,0.4167,16.909,A,57.4315
0.5863,1.2314,-0.0632,54.4981,29.5565,Z,-0.8025,27.7631,B,41.0601
0.8771,-0.4378,1.0395,29.6258,31.401,Y,-0.5913,6.464,B,41.7661
0.8548,-0.4913,0.5181,62.3834,26.8087,Z,-2.0731,16.5347,A,52.8087
0.9687,-0.6898,-0.2962,45.152,7.9256,Z,-0.9167,23.4386,B,34.8724
0.8843,-0.1434,0.0776,42.1648,29.2438,Z,-1.8025,11.7484,A,55.0451
0.4503,1.8363,0.0287,53.3945,35.0646,Y,0.4374,32.9907,B,42.7925
0.1419,-1.1555,-0.916,60.3262,11.9114,Y,0.0614,7.058,B,34.558
0.9558,1.6372,1.2137,53.4258,29.7771,Z,0.9141,27.1828,B,56.3191
0.2288,-1.0084,-1.3856,60.5274,31.424,Y,0.3565,27.7867,A,61.9643
0.6221,-0.2338,1.1712,51.3436,34.1149,X,-0.6348,24.5818,A,65.3851
0.2645,0.8358,0.9544,62.2964,9.5325,Y,0.3462,18.8921,A,18.7757
0.8168,0.6303,-0.093,62.4516,29.2672,Y,-0.3904,21.7859,B,60.072
0.2008,0.282,-0.7654,49.0052,12.4239,X,0.6091,15.5138,A,22.9325
0.4208,-1.6494,-0.2264,64.3921,30.9884,X,0.3154,24.0466,A,62.1792
0.2197,0.3622,0.4728,51.6473,31.3427,Y,-0.9886,14.4007,A,63.5918
0.8606,-1.0224,0.7431,50.8689,8.9836,Z,0.0022,18.6306,B,35.6704
0.6194,2.5689,0.2869,40.7853,33.8484,Y,0.0553,24.9812,B,38.2999
0.6308,-0.2134,0.9921,47.1122,33.4192,Y,-0.3077,14.4285,A,63.9981
0.3145,0.1887,-0.5574,57.7758,11.1319,X,0.8949,18.1787,A,20.6372
0.1765,-1.1467,0.2346,36.8735,31.3686,X,1.7131,20.8213,A,60.8505
0.8573,-0.4789,-1.5683,56.4962,25.9455,X,-0.3677,13.2911,A,53.3839
0.7646,-1.291,0.7636,53.4862,31.2754,X,-0.3507,25.8219,B,30.3827
0.7344,0.9815,0.1532,52.7756,29.6118,X,-2.2481,21.7039,B,39.6033
0.9971,-0.262,-0.4156,27.9351,10.8678,Y,-0.1289,12.4221,B,32.847
0.5595,0.5627,1.1615,48.9676,11.3649,Y,-0.4362,19.7652,A,26.1426
0.1786,-0.6846,0.6915,56.4826,9.3174,X,-2.1612,16.1233,A,20.3379
0.6095,-0.5011,-2.8164,42.3705,6.619,Z,0.2885,16.7122,A,12.5392
0.2873,1.2882,0.0399,50.9031,10.7357,Y,0.591,20.3837,B,44.0378
